Episode;Total Reward;Epsilon;Elapsed time [s]
657;-212.09;0.037;1.55
658;89.078;0.037;20.18
659;125.438;0.037;19.96
660;253.411;0.037;5.65
661;227.296;0.036;8.64
662;-243.711;0.036;6.65
663;131.584;0.036;20.19
664;5.854;0.036;2.72
665;126.14;0.036;10.0
666;-183.136;0.035;1.01
667;122.052;0.035;20.13
668;143.909;0.035;20.2
669;243.259;0.035;5.35
670;10.457;0.035;4.75
671;178.13;0.035;20.2
672;-158.237;0.034;5.45
673;234.098;0.034;17.52
674;236.707;0.034;14.88
675;141.719;0.034;20.52
676;271.052;0.034;5.0
677;179.897;0.034;12.76
678;215.536;0.033;7.34
679;125.533;0.033;20.22
680;-232.262;0.033;1.37
681;58.735;0.033;20.46
682;-182.106;0.033;1.21
683;260.042;0.033;3.41
684;-262.786;0.032;1.71
685;202.971;0.032;5.31
686;263.683;0.032;6.83
687;248.093;0.032;11.62
688;220.811;0.032;14.0
689;280.044;0.032;5.11
690;111.307;0.031;20.31
691;138.176;0.031;20.12
692;155.755;0.031;20.22
693;-196.91;0.031;1.46
694;-38.364;0.031;1.19
695;177.604;0.031;4.92
696;232.113;0.031;16.48
697;-233.253;0.03;1.68
698;256.624;0.03;16.69
699;-26.823;0.03;6.02
700;-132.617;0.03;4.44
701;-258.228;0.03;7.93
702;243.719;0.03;7.3
703;-25.393;0.029;4.16
704;200.206;0.029;13.29
705;24.068;0.029;3.55
706;209.848;0.029;20.28
707;238.852;0.029;6.84
708;260.62;0.029;9.29
709;245.952;0.029;7.93
710;47.359;0.028;20.14
711;177.797;0.028;7.44
712;74.315;0.028;20.04
713;287.987;0.028;5.3
714;176.614;0.028;20.1
715;263.839;0.028;5.28
716;132.228;0.028;20.09
717;243.93;0.027;6.85
718;270.65;0.027;6.52
719;-75.208;0.027;3.35
720;149.511;0.027;20.03
721;5.232;0.027;3.03
722;231.423;0.027;9.51
723;134.012;0.027;18.7
724;255.703;0.027;4.55
725;255.455;0.026;5.21
726;245.898;0.026;7.22
727;284.337;0.026;7.12
728;276.72;0.026;4.01
729;260.072;0.026;4.74
730;281.89;0.026;4.72
731;-9.22;0.026;20.67
732;263.595;0.025;5.42
733;211.095;0.025;10.19
734;233.151;0.025;9.6
735;225.909;0.025;3.8
736;203.171;0.025;13.12
737;275.748;0.025;4.1
738;214.042;0.025;17.2
739;176.675;0.025;5.99
740;274.23;0.024;5.34
741;12.222;0.024;2.12
742;-478.524;0.024;11.69
743;258.011;0.024;3.75
744;246.728;0.024;5.04
745;253.632;0.024;16.44
746;127.043;0.024;20.35
747;210.261;0.024;4.13
748;258.097;0.024;6.24
749;229.494;0.023;8.64
750;260.071;0.023;5.02
751;-61.738;0.023;3.8
752;231.162;0.023;10.78
753;254.668;0.023;5.32
754;276.888;0.023;6.84
755;140.864;0.023;20.4
756;-179.153;0.023;4.44
757;141.075;0.022;20.24
758;-3.364;0.022;2.37
759;193.724;0.022;6.7
760;230.262;0.022;9.15
761;239.73;0.022;6.23
762;-300.777;0.022;9.4
763;-105.923;0.022;3.98
764;-132.346;0.022;4.26
765;187.156;0.022;7.28
766;142.807;0.022;20.32
767;124.381;0.021;20.26
768;120.598;0.021;20.23
769;-378.433;0.021;5.85
770;-35.033;0.021;21.08
771;138.474;0.021;6.85
772;266.417;0.021;8.77
773;242.209;0.021;18.54
774;265.122;0.021;11.72
775;214.592;0.021;4.13
776;229.433;0.02;5.91
777;181.557;0.02;7.1
778;-137.678;0.02;4.05
779;245.554;0.02;17.31
780;256.666;0.02;5.03
781;208.735;0.02;7.94
782;248.581;0.02;8.32
783;259.383;0.02;12.94
784;125.451;0.02;20.2
785;-358.143;0.02;1.27
786;-214.328;0.019;10.33
787;277.008;0.019;5.08
788;156.725;0.019;20.15
789;261.824;0.019;7.07
790;212.915;0.019;7.07
791;-471.827;0.019;4.43
792;240.543;0.019;5.0
793;-64.441;0.019;3.9
794;215.396;0.019;7.39
795;8.141;0.019;4.3
796;230.373;0.019;6.87
797;168.088;0.018;20.18
798;172.634;0.018;6.59
799;-37.506;0.018;3.33
800;141.714;0.018;20.1
801;-209.256;0.018;5.39
802;194.419;0.018;6.41
